objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime
merge_driven,random,standard,0,41,14,2,14,6.341463414634147,0.17073170731707318,0.8292682926829268,7,34,15,0.4411764705882353,3.5714285714285716,1.0,0.14634146341463414,8,41,27,mixed
merge_driven,random,equal_abstraction_budget,0,41,14,2,14,6.341463414634147,0.17073170731707318,0.8292682926829268,7,34,15,0.4411764705882353,3.5714285714285716,1.0,0.14634146341463414,8,41,27,mixed
merge_driven,random,remove_composition,0,2,0,1,0,1.5,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,collapse
merge_driven,random,remove_hierarchy,0,39,14,1,14,5.717948717948718,0.15384615384615385,0.7948717948717948,6,34,15,0.4411764705882353,3.5714285714285716,0.0,0.0,0,39,25,flat_memory
merge_driven,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
merge_driven,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
merge_driven,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
merge_driven,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse
merge_driven,hierarchical,standard,0,49,46,2,31,4.918367346938775,4.653061224489796,4.714285714285714,228,165,165,1.0,1.0869565217391304,1.0,0.6122448979591837,11,49,3,reusable_feature_graph
merge_driven,hierarchical,equal_abstraction_budget,0,49,35,2,27,5.36734693877551,4.530612244897959,4.591836734693878,222,141,141,1.0,1.4285714285714286,1.0,0.5714285714285714,11,49,14,reusable_feature_graph
merge_driven,hierarchical,remove_composition,0,8,5,1,5,12.5,10.875,11.25,87,38,38,1.0,10.0,0.0,0.0,0,8,3,flat_reusable_features
merge_driven,hierarchical,remove_hierarchy,0,21,18,1,18,8.523809523809524,7.904761904761905,8.047619047619047,166,87,87,1.0,2.7777777777777777,0.0,0.0,0,21,3,flat_reusable_features
