step,observations,abstractions,alive_abstractions,max_depth,mean_lifetime,mean_reuse,merges,splits,destroyed,created,compositions
1,1,1,1,1,0.0,0.0,1,0,0,1,0
10,10,8,8,1,0.25,0.25,8,0,0,8,0
20,20,17,17,1,0.17647058823529413,0.17647058823529413,17,0,0,17,0
30,30,26,26,1,0.15384615384615385,0.15384615384615385,26,0,0,26,0
40,40,31,31,1,0.2903225806451613,0.2903225806451613,31,0,0,31,0
50,50,36,36,1,0.3888888888888889,0.3888888888888889,36,0,0,36,0
60,60,41,41,1,0.4634146341463415,0.4634146341463415,41,0,0,41,0
70,70,45,45,1,0.5555555555555556,0.5555555555555556,45,0,0,45,0
80,80,49,49,1,0.6326530612244898,0.6326530612244898,49,0,0,49,0
90,90,52,52,1,0.7307692307692307,0.7307692307692307,52,0,0,52,0
100,100,56,56,1,0.7857142857142857,0.7857142857142857,56,0,0,56,0
110,110,58,58,1,0.896551724137931,0.896551724137931,58,0,0,58,0
120,120,61,61,1,0.9672131147540983,0.9672131147540983,61,0,0,61,0
130,130,63,63,1,1.0634920634920635,1.0634920634920635,63,0,0,63,0
140,140,64,64,1,1.1875,1.1875,64,0,0,64,0
150,150,66,66,1,1.2727272727272727,1.2727272727272727,66,0,0,66,0
160,160,67,67,1,1.3880597014925373,1.3880597014925373,67,0,0,67,0
170,170,67,67,1,1.537313432835821,1.537313432835821,67,0,0,67,0
180,180,67,67,1,1.6865671641791045,1.6865671641791045,67,0,0,67,0
