objective,world,ablation,seed,pc1,pc2,cluster
accuracy,random,standard,0,-3.2361725005597606,0.19954305984856735,0
accuracy,random,equal_abstraction_budget,0,-3.2361725005597606,0.19954305984856735,0
accuracy,random,remove_composition,0,-3.979752650868686,0.21583172326688993,1
accuracy,random,remove_hierarchy,0,-3.2361725005597606,0.19954305984856735,0
accuracy,no_regularities,standard,0,-4.55262562065141,0.39123184119999965,1
accuracy,no_regularities,equal_abstraction_budget,0,-4.55262562065141,0.39123184119999965,1
accuracy,no_regularities,remove_composition,0,-4.55262562065141,0.39123184119999965,1
accuracy,no_regularities,remove_hierarchy,0,-4.55262562065141,0.39123184119999965,1
accuracy,hierarchical,standard,0,4.905102423925567,0.20872925021678895,2
accuracy,hierarchical,equal_abstraction_budget,0,4.7532262170077635,0.3323698872497196,2
accuracy,hierarchical,remove_composition,0,-0.8668501401168368,-3.7379676170004954,3
accuracy,hierarchical,remove_hierarchy,0,2.529461939121581,-0.3585865843888805,3
accuracy,compositional,standard,0,5.24206371661136,0.033165134719250575,2
accuracy,compositional,equal_abstraction_budget,0,4.91979610762907,0.24545393983264083,2
accuracy,compositional,remove_composition,0,-0.7110959125419682,-3.81920690060719,3
accuracy,compositional,remove_hierarchy,0,2.6116831671571337,-0.4019764790468026,3
accuracy,partial,standard,0,1.923683482740522,1.854193660403563,4
accuracy,partial,equal_abstraction_budget,0,1.923683482740522,1.854193660403563,4
accuracy,partial,remove_composition,0,-1.4562940049862791,-1.3464024044659533,5
accuracy,partial,remove_hierarchy,0,0.687210457011389,1.6762375616490905,6
accuracy,anti_compositional,standard,0,4.165902263919758,-0.41657849315916895,2
accuracy,anti_compositional,equal_abstraction_budget,0,4.165902263919758,-0.41657849315916895,2
accuracy,anti_compositional,remove_composition,0,-0.8619548185665862,-5.48804688539177,3
accuracy,anti_compositional,remove_hierarchy,0,1.4261065843192358,-1.044986448716402,3
compression,random,standard,0,-3.2361725005597606,0.19954305984856735,0
compression,random,equal_abstraction_budget,0,-3.2361725005597606,0.19954305984856735,0
compression,random,remove_composition,0,-3.979752650868686,0.21583172326688993,1
compression,random,remove_hierarchy,0,-3.2361725005597606,0.19954305984856735,0
compression,no_regularities,standard,0,-4.55262562065141,0.39123184119999965,1
compression,no_regularities,equal_abstraction_budget,0,-4.55262562065141,0.39123184119999965,1
compression,no_regularities,remove_composition,0,-4.55262562065141,0.39123184119999965,1
compression,no_regularities,remove_hierarchy,0,-4.55262562065141,0.39123184119999965,1
compression,hierarchical,standard,0,4.817725492145942,-0.5432701838190226,2
compression,hierarchical,equal_abstraction_budget,0,4.642444626342808,-0.4320486922495791,2
compression,hierarchical,remove_composition,0,-0.8537003825614696,-3.7837023196435142,3
compression,hierarchical,remove_hierarchy,0,1.252645600270157,-1.9176361978310055,3
compression,compositional,standard,0,5.159162321755091,-0.721832731571024,2
compression,compositional,equal_abstraction_budget,0,4.8708841601192825,-0.5511996415393975,2
compression,compositional,remove_composition,0,-0.6979461549866011,-3.864941603250209,3
compression,compositional,remove_hierarchy,0,1.2941800609567886,-1.9393000067927904,3
compression,partial,standard,0,2.702228454629921,1.519406393033716,4
compression,partial,equal_abstraction_budget,0,2.686918802225468,1.4846864323953688,4
compression,partial,remove_composition,0,-1.4661430698705131,-1.316013748186796,5
compression,partial,remove_hierarchy,0,-0.5938901431955267,-0.3292624283183221,5
compression,anti_compositional,standard,0,3.9322362067836365,-1.2709126597389109,2
compression,anti_compositional,equal_abstraction_budget,0,3.9322362067836365,-1.2709126597389109,2
compression,anti_compositional,remove_composition,0,-0.8671608198903786,-5.465936086022462,3
compression,anti_compositional,remove_hierarchy,0,0.7273040672578175,-2.537129887419554,3
lifetime_reuse,random,standard,0,-0.8146151409934257,1.3991578358811774,6
lifetime_reuse,random,equal_abstraction_budget,0,-0.8146151409934257,1.3991578358811774,6
lifetime_reuse,random,remove_composition,0,-3.979752650868686,0.21583172326688993,1
lifetime_reuse,random,remove_hierarchy,0,-0.8146151409934257,1.3991578358811774,6
lifetime_reuse,no_regularities,standard,0,-4.55262562065141,0.39123184119999965,1
lifetime_reuse,no_regularities,equal_abstraction_budget,0,-4.55262562065141,0.39123184119999965,1
lifetime_reuse,no_regularities,remove_composition,0,-4.55262562065141,0.39123184119999965,1
lifetime_reuse,no_regularities,remove_hierarchy,0,-4.55262562065141,0.39123184119999965,1
lifetime_reuse,hierarchical,standard,0,4.85231405304461,-0.3421520144354171,2
lifetime_reuse,hierarchical,equal_abstraction_budget,0,4.565771363517889,-0.1298580757701016,2
lifetime_reuse,hierarchical,remove_composition,0,-0.8537003825614696,-3.7837023196435142,3
lifetime_reuse,hierarchical,remove_hierarchy,0,0.8930860756299079,-2.4760313760085126,3
lifetime_reuse,compositional,standard,0,5.049602741306111,-0.44505510700389656,2
lifetime_reuse,compositional,equal_abstraction_budget,0,4.773443666951047,-0.23817712057902735,2
lifetime_reuse,compositional,remove_composition,0,-0.6979461549866011,-3.864941603250209,3
lifetime_reuse,compositional,remove_hierarchy,0,0.9346205363165393,-2.4976951849702975,3
lifetime_reuse,partial,standard,0,3.463256873413856,1.2791766586757136,4
lifetime_reuse,partial,equal_abstraction_budget,0,3.488379872322607,1.21512040205862,4
lifetime_reuse,partial,remove_composition,0,-1.4661430698705131,-1.316013748186796,5
lifetime_reuse,partial,remove_hierarchy,0,-0.4564279236050291,-0.6110228117187119,5
lifetime_reuse,anti_compositional,standard,0,4.9499083543347036,-0.1761730654128967,2
lifetime_reuse,anti_compositional,equal_abstraction_budget,0,4.741398261630128,-0.10645761349485028,2
lifetime_reuse,anti_compositional,remove_composition,0,-0.8671608198903786,-5.465936086022462,3
lifetime_reuse,anti_compositional,remove_hierarchy,0,0.15203043381745063,-2.244175309230966,3
novelty,random,standard,0,-0.8182497612877937,1.4849639260833998,6
novelty,random,equal_abstraction_budget,0,-0.8182497612877937,1.4849639260833998,6
novelty,random,remove_composition,0,-3.979752650868686,0.21583172326688993,1
novelty,random,remove_hierarchy,0,-0.8182497612877937,1.4849639260833998,6
novelty,no_regularities,standard,0,-4.55262562065141,0.39123184119999965,1
novelty,no_regularities,equal_abstraction_budget,0,-4.55262562065141,0.39123184119999965,1
novelty,no_regularities,remove_composition,0,-4.55262562065141,0.39123184119999965,1
novelty,no_regularities,remove_hierarchy,0,-4.55262562065141,0.39123184119999965,1
novelty,hierarchical,standard,0,0.819829480514086,1.5257463353091307,6
novelty,hierarchical,equal_abstraction_budget,0,0.819829480514086,1.5257463353091307,6
novelty,hierarchical,remove_composition,0,-0.8565926055191322,-3.7714185422161215,3
novelty,hierarchical,remove_hierarchy,0,0.819829480514086,1.5257463353091307,6
novelty,compositional,standard,0,0.9454135299179315,1.4524710554766351,6
novelty,compositional,equal_abstraction_budget,0,0.9454135299179315,1.4524710554766351,6
novelty,compositional,remove_composition,0,-0.7008383779442636,-3.8526578258228152,3
