objective,world,ablation,seed,abstraction_count,alive_count,graph_depth,dag_width,mean_lifetime,mean_exposure_lifetime,mean_reuse,valid_reuse,raw_transfer_reuse,valid_transfer_reuse,transfer_correctness,graph_compression_ratio,semantic_subsumption_ratio,branching_factor,hierarchy_emergence_time,births,deaths,regime,implementation
accuracy,random,standard,0,15,0,1,0,7.2,0.2,1.2,3,0,0,0.0,50.0,0.0,0.0,0,15,15,collapse,dag
accuracy,random,equal_abstraction_budget,0,15,0,1,0,7.2,0.2,1.2,3,0,0,0.0,50.0,0.0,0.0,0,15,15,collapse,dag
accuracy,random,remove_composition,0,2,0,1,0,1.5,0.0,1.0,0,0,0,0.0,50.0,0.0,0.0,0,2,2,collapse,dag
accuracy,random,remove_hierarchy,0,15,0,1,0,7.2,0.2,1.2,3,0,0,0.0,50.0,0.0,0.0,0,15,15,collapse,dag
accuracy,no_regularities,standard,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,dag
accuracy,no_regularities,equal_abstraction_budget,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,dag
accuracy,no_regularities,remove_composition,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,dag
accuracy,no_regularities,remove_hierarchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,50.0,0.0,0.0,0,0,0,collapse,dag
accuracy,hierarchical,standard,0,48,42,2,38,4.604166666666667,3.625,3.75,174,160,156,0.975,1.1904761904761905,1.0,0.16666666666666666,39,48,6,mixed,dag
accuracy,hierarchical,equal_abstraction_budget,0,49,35,2,34,5.122448979591836,3.4693877551020407,3.5918367346938775,170,146,145,0.9931506849315068,1.4285714285714286,1.0,0.20408163265306123,39,49,14,mixed,dag
accuracy,hierarchical,remove_composition,0,9,5,1,5,10.777777777777779,9.444444444444445,9.88888888888889,85,38,38,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,dag
accuracy,hierarchical,remove_hierarchy,0,44,38,1,38,4.9772727272727275,3.909090909090909,4.045454545454546,172,151,149,0.9867549668874173,1.3157894736842106,0.0,0.0,0,44,6,flat_reusable_features,dag
accuracy,compositional,standard,0,48,42,2,38,4.604166666666667,3.625,3.75,174,193,188,0.9740932642487047,1.1904761904761905,1.0,0.16666666666666666,39,48,6,mixed,dag
accuracy,compositional,equal_abstraction_budget,0,49,35,2,34,5.122448979591836,3.4693877551020407,3.5918367346938775,170,162,161,0.9938271604938271,1.4285714285714286,1.0,0.20408163265306123,39,49,14,mixed,dag
accuracy,compositional,remove_composition,0,9,5,1,5,10.777777777777779,9.444444444444445,9.88888888888889,85,53,53,1.0,10.0,0.0,0.0,0,9,4,flat_reusable_features,dag
accuracy,compositional,remove_hierarchy,0,44,38,1,38,4.9772727272727275,3.909090909090909,4.045454545454546,172,158,157,0.9936708860759493,1.3157894736842106,0.0,0.0,0,44,6,flat_reusable_features,dag
accuracy,partial,standard,0,49,33,2,33,4.510204081632653,1.183673469387755,1.510204081632653,58,37,29,0.7837837837837838,1.5151515151515151,1.0,0.04081632653061224,7,49,16,mixed,dag
accuracy,partial,equal_abstraction_budget,0,49,33,2,33,4.510204081632653,1.183673469387755,1.510204081632653,58,37,29,0.7837837837837838,1.5151515151515151,1.0,0.04081632653061224,7,49,16,mixed,dag
accuracy,partial,remove_composition,0,14,5,1,5,7.428571428571429,3.857142857142857,4.5,54,23,19,0.8260869565217391,10.0,0.0,0.0,0,14,9,flat_reusable_features,dag
accuracy,partial,remove_hierarchy,0,49,33,1,33,4.551020408163265,1.183673469387755,1.510204081632653,58,37,29,0.7837837837837838,1.5151515151515151,0.0,0.0,0,49,16,flat_memory,dag
