architecture_id,paradigm,e_star_complete,correspondence_score,mapping_ambiguity,C1,C2,C3,C4,C5
a000000,random_interaction,False,0.5682787768224016,0.0,[],[],[],[4],[]
a000001,rewriting_system,False,0.6569587183531462,0.0,[0],[],[],[3],[]
a000002,cellular_automata,False,0.596219194617934,0.0,[0],[2],[],[],[4]
a000003,differentiable_system,False,0.49741946871623943,0.03333333333333333,[],[],[],"[1, 2]",[]
a000004,sat_based,False,0.4876779990190351,0.0,[],[6],[0],[],[]
a000005,differentiable_system,False,0.5717826065230849,0.0,[4],[],[],[8],[]
a000006,rewriting_system,False,0.520921861609969,0.0,[],[],[],[0],[]
a000007,hypergraph,False,0.6056513114754593,0.02,"[2, 7]",[],[],[],[1]
a000008,symbolic_system,False,0.6567864455841224,0.02222222222222222,[],[],"[3, 5]",[],[4]
a000009,sat_based,False,0.5723705111181548,0.0,[],[6],[8],[],[]
a000010,graph_system,False,0.5817633017370818,0.0,[],[2],[],[1],[]
a000011,graph_system,False,0.6889474089087042,0.075,[1],[],"[7, 5]","[4, 6, 0]",[]
a000012,rewriting_system,False,0.6043261105873384,0.04,[],[],[],"[3, 0]",[4]
a000013,sat_based,False,0.5416942798602916,0.0,[],[],[],[2],[]
a000014,symbolic_system,False,0.4974865077075856,0.05714285714285714,[],[],[],[],"[6, 3, 5]"
a000015,graph_system,False,0.6044234570086336,0.02857142857142857,[],[0],[],"[6, 4]",[]
a000016,differentiable_system,False,0.5581863136601456,0.0,[],[],[1],[],[]
a000017,graph_system,False,0.5025365213577067,0.0,[],[],[],[4],[]
a000018,hypergraph,False,0.6159349466211832,0.02,"[7, 3]",[9],[],[],[]
a000019,graph_system,False,0.5885823150489828,0.0,[],[],[],[2],[]
a000020,differentiable_system,False,0.47940272701297965,0.0,[],[],[],[5],[]
a000021,probabilistic_system,False,0.6147346657007419,0.0,[7],[],[1],[],[]
a000022,cellular_automata,False,0.6024194708125895,0.04,[],[],[],"[3, 9]","[4, 5]"
a000023,hypergraph,False,0.5148459101713035,0.0,[2],[],[],[],[]
a000024,differentiable_system,False,0.39814474374739794,0.0,[],[],[],[],[]
a000025,random_interaction,False,0.4657798448559519,0.0,[],[],[],[],[]
a000026,probabilistic_system,False,0.5168646970854074,0.0,[],[1],[3],[],[]
a000027,graph_system,False,0.47898707576409516,0.1,[],[],[],"[7, 1, 2, 9, 0, 8]",[]
a000028,rewriting_system,False,0.5813889382644899,0.03333333333333333,[],[],[],"[2, 3]",[]
a000029,differentiable_system,False,0.3976353621427481,0.0,[],[],[],[],[]
a000030,graph_system,False,0.5624133730255845,0.04444444444444444,[],[],[],[],"[2, 4, 6]"
a000031,differentiable_system,False,0.5032194762499634,0.0,[],[],[],[],[8]
a000032,cellular_automata,False,0.413687311512993,0.05,"[0, 3]",[],[],[],[]
a000033,cellular_automata,False,0.45261310654891107,0.05,[],[],[],"[3, 2]",[]
a000034,rewriting_system,False,0.5770214683095543,0.08,[],[],[3],"[1, 4, 2]",[]
a000035,graph_system,False,0.6150109982632272,0.04,"[0, 2]",[],[],[4],[]
a000036,symbolic_system,False,0.5792267276264458,0.0,[],[],[],[],[3]
a000037,random_interaction,False,0.43240589877264124,0.0,[],[],[],[0],[]
a000038,differentiable_system,False,0.4061990883729575,0.0,[0],[],[],[],[]
a000039,hypergraph,False,0.7217405462419073,0.02857142857142857,[4],[2],[3],[],"[6, 1]"
a000040,sat_based,False,0.5865076127347277,0.025,[],"[6, 7]",[],[1],[]
a000041,cellular_automata,False,0.4707989633584636,0.0,[],[],[0],[],[]
a000042,graph_system,False,0.568280796805151,0.04,[],[],[],"[4, 0]",[]
a000043,rewriting_system,False,0.5481049407068633,0.02857142857142857,[],[],[],"[5, 2]",[]
a000044,hypergraph,False,0.5998542353205595,0.02222222222222222,"[3, 6]",[],[],[],[]
a000045,random_interaction,False,0.3697891086205284,0.0,[],[],[],[],[]
a000046,rewriting_system,False,0.5551367218826011,0.04,[],[],[],[3],"[0, 2]"
a000047,cellular_automata,False,0.5522122930799604,0.0,[1],[],[],[0],[]
a000048,cellular_automata,False,0.592150638504216,0.03333333333333333,[],[],[],"[3, 1]",[4]
a000049,graph_system,False,0.4673761469173086,0.075,[],[],[],"[5, 3, 1, 2]",[]
a000050,graph_system,False,0.5812937781041952,0.0,[],[],[],[2],[]
a000051,differentiable_system,False,0.4800936807604422,0.0,[],[],[],[],[0]
a000052,random_interaction,False,0.5981535230981481,0.02,"[3, 1]",[],[],[],[]
a000053,differentiable_system,False,0.6814079523830999,0.0,[],[5],[1],[],[0]
a000054,random_interaction,False,0.5096697552224756,0.04,[],[],[],[],"[3, 0]"
a000055,cellular_automata,False,0.6224904918366468,0.04444444444444444,"[8, 7]","[3, 6]",[],[],[5]
a000056,probabilistic_system,False,0.4923886127260805,0.0,[],[],[],[],[]
a000057,rewriting_system,False,0.48052689469484705,0.04,[],[],[],"[1, 2]",[]
a000058,graph_system,False,0.512547382413967,0.0,[],[],[],[0],[]
a000059,sat_based,False,0.6057325075128572,0.0,[],[],[2],[4],[]
a000060,cellular_automata,False,0.4379056936131279,0.0,[],[],[],[],[]
a000061,random_interaction,False,0.5739137461256967,0.0,[],[],[],[],[1]
a000062,symbolic_system,False,0.5557278315105247,0.02857142857142857,[2],"[6, 3]",[],[],[]
a000063,symbolic_system,False,0.6970189098297046,0.0,[2],[],[3],[5],[]
a000064,sat_based,False,0.5665884081611277,0.0,[],[1],[],[3],[]
a000065,graph_system,False,0.46735033034011675,0.0,[],[1],[],[],[]
a000066,random_interaction,False,0.4292807326566573,0.0,[],[],[],[],[0]
a000067,graph_system,False,0.5798853339567692,0.0,[],[],[],[3],[2]
a000068,differentiable_system,False,0.6029460124799164,0.0,[],[],[2],[],[]
a000069,cellular_automata,False,0.5698978422307058,0.0,[1],[],[2],[],[]
a000070,sat_based,False,0.5055920781422403,0.0,[],[3],[2],[],[]
a000071,differentiable_system,False,0.6578201446627358,0.02222222222222222,[0],[6],[],[],"[8, 7]"
a000072,hypergraph,False,0.5864448575011407,0.0,[3],[],[],[],[]
a000073,cellular_automata,False,0.42318716362577086,0.0,[],[3],[],[],[]
a000074,symbolic_system,False,0.5219344730012417,0.02222222222222222,[],[],[],"[3, 2]",[]
a000075,cellular_automata,False,0.41136856162163216,0.0,[],[],[2],[],[]
a000076,rewriting_system,False,0.6538043453419532,0.025,[],[],[6],"[3, 2]",[]
a000077,sat_based,False,0.6271254282832757,0.06666666666666667,[],"[0, 1, 2, 4]",[],[5],[]
a000078,random_interaction,False,0.6853373829794378,0.0,[],[],[0],[3],[]
a000079,rewriting_system,False,0.511656427181858,0.06,[],[],[],"[6, 2, 5, 7]",[]
a000080,sat_based,False,0.6813214659416228,0.0,[],[3],[1],[],[6]
a000081,differentiable_system,False,0.4214027236002794,0.0,[],[],[],[],[]
a000082,rewriting_system,False,0.46629677369492617,0.05,[],[],[],"[1, 3]",[]
a000083,cellular_automata,False,0.4630865825219871,0.11428571428571428,[],[],[],"[1, 5, 2, 6, 0]",[]
a000084,hypergraph,False,0.577991485015196,0.02222222222222222,[7],[],[],[],"[8, 5]"
a000085,symbolic_system,False,0.7043776580005016,0.03333333333333333,[],[5],[],[2],"[1, 0]"
a000086,graph_system,False,0.5369901548034098,0.0,[],[2],[],[1],[]
a000087,symbolic_system,False,0.6027277988944519,0.03333333333333333,"[1, 5]",[],[],[],[2]
a000088,differentiable_system,False,0.4248808258007154,0.0,[],[],[0],[],[]
a000089,graph_system,False,0.6203095542927906,0.0,[],[],[2],[0],[]
a000090,symbolic_system,False,0.6089508000513475,0.0,[1],[],[],[],[0]
a000091,random_interaction,False,0.6634251928158243,0.0,[],[],[],[4],[1]
a000092,symbolic_system,False,0.5657226470508621,0.0,[],[3],[],[0],[]
a000093,graph_system,False,0.5213059949713583,0.0,[],[],[],[4],[]
a000094,cellular_automata,False,0.44869286374205136,0.0,[],[],[],[],[]
a000095,differentiable_system,False,0.5635659557636344,0.0,[],[],[],[2],[1]
a000096,cellular_automata,False,0.6383682907203966,0.0,[],[],[],[2],[4]
a000097,graph_system,False,0.6026407669471581,0.0,[],[0],[],[6],[]
a000098,graph_system,False,0.6182780042220576,0.0,[],[],[0],[],[2]
a000099,rewriting_system,False,0.44607625627557096,0.08,[],[],[],"[3, 1, 0]",[]
a000100,probabilistic_system,False,0.6141619687140393,0.0,[],[],[0],[2],[]
a000101,rewriting_system,False,0.5184813202204417,0.03333333333333333,[],[3],[],"[2, 0]",[]
a000102,sat_based,False,0.5019086595694129,0.0,[],[4],[],[],[]
a000103,symbolic_system,False,0.5476061870103266,0.0,[],[0],[],[2],[]
a000104,cellular_automata,False,0.4278802558739029,0.0,[2],[],[],[],[]
a000105,sat_based,False,0.6256374211984234,0.0,[],[],[],[1],[0]
a000106,differentiable_system,False,0.5158990771019021,0.0,[],[],[0],[],[]
a000107,rewriting_system,False,0.6618619453696454,0.0,[],[],[],[1],[]
a000108,sat_based,False,0.49462080806807285,0.0,[0],[],[],[],[]
a000109,cellular_automata,False,0.5600862937754665,0.0,[],[1],[],[6],[]
a000110,probabilistic_system,False,0.5938892059823622,0.0,[],[],[],[2],[0]
a000111,symbolic_system,False,0.6609029324269372,0.0,[3],[],[],[2],[4]
a000112,probabilistic_system,False,0.5657971810984925,0.0,[],[0],[2],[],[1]
a000113,cellular_automata,False,0.5489648523018463,0.0,[],[],[],[],[]
a000114,symbolic_system,False,0.6254870823282948,0.05714285714285714,[2],"[6, 1]",[],[],"[4, 5]"
a000115,hypergraph,False,0.6231831559492691,0.025,"[3, 2]",[],[],[7],[4]
a000116,symbolic_system,False,0.6714139204206934,0.0,[],[],[],[3],[1]
a000117,cellular_automata,False,0.5427197188367232,0.0,[0],[2],[],[],[]
