architecture_id,paradigm,e_star_complete,canonical_class,canonical_signature,lab_distance,weakest_lab_correspondence
a000001,rewriting_system,False,canon_020,R[0:1;1:1;3:2;4:1;5:1;8:2]E[0>3;1>5;3>0;3>1;3>4;3>5;3>8;5>8;8>4],0.39767952511319304,weak_behavioral_equivalence
a000002,cellular_automata,False,canon_014,R[0:1;1:1;3:1;4:1;5:2;8:2]E[0>5;1>5;1>8;3>4;3>8;4>8;5>1;5>3;8>4],0.3876196436278658,weak_behavioral_equivalence
a000005,differentiable_system,False,canon_382,R[2:1;4:1;5:2]E[2>5;5>2;5>4],0.7086773550734098,failed
a000007,hypergraph,False,canon_429,R[3:1;4:1;6:2]E[3>6;6>3;6>4],0.7014399909445255,failed
a000013,sat_based,False,canon_318,R[1:1;3:1;4:1;5:2;7:1]E[1>3;1>5;4>1;4>3;4>5;5>1;5>3;7>1;7>4;7>5],0.45287365537591845,weak_behavioral_equivalence
a000020,differentiable_system,False,canon_408,R[3:1;4:1;5:1;7:1]E[4>3;5>4;7>5],0.5472842899368134,failed
a000022,cellular_automata,False,canon_361,R[2:1;3:2;4:2;5:1;8:1]E[2>4;3>2;3>4;3>8;4>2;4>3;4>5;4>8;5>2],0.5711971830445991,failed
a000024,differentiable_system,False,canon_386,R[2:1;4:1;6:1]E[4>2;4>6;6>2],0.7717127687302757,failed
a000025,random_interaction,False,canon_236,R[0:2;2:1;3:1;5:1;7:1;8:1]E[0>3;2>0;2>3;2>8;3>8;5>2;7>2;7>5;8>0],0.5242208516011763,failed
a000028,rewriting_system,False,canon_070,R[0:1;2:1;3:3;6:1;8:2]E[0>6;2>3;2>8;3>0;3>6;3>8;6>3;8>3],0.6344565559351409,failed
a000031,differentiable_system,False,canon_402,R[2:2;4:1;6:1;8:1]E[2>4;2>6;2>8;4>8;6>2],0.6907625863026255,failed
a000033,cellular_automata,False,canon_444,R[3:1;5:1;8:2]E[3>5;3>8;5>8],0.590385006635519,failed
a000039,hypergraph,False,canon_111,R[0:1;3:1;4:1;5:2;6:2;8:1]E[0>5;3>6;4>5;4>6;4>8;5>3;5>6;5>8;6>0;6>3;6>8],0.46985584063842506,weak_behavioral_equivalence
a000041,cellular_automata,False,canon_090,R[0:1;2:1;4:3;5:2]E[0>5;2>4;4>0;4>2;4>5;5>2],0.6770489528629822,failed
a000043,rewriting_system,False,canon_444,R[3:1;5:1;8:2]E[3>5;3>8;5>8],0.5901649130136584,failed
a000049,graph_system,False,canon_491,R[4:1;5:1]E[4>5],0.7207713469547087,failed
a000051,differentiable_system,False,canon_248,R[0:2;2:1;4:1;5:1;7:1]E[0>4;0>5;2>0;2>5;5>0;7>2],0.6171745894284362,failed
a000053,differentiable_system,False,canon_082,R[0:1;2:1;4:1;6:1]E[0>4;2>6;6>0;6>4],0.7186983700503352,failed
a000055,cellular_automata,False,canon_510,R[4:2;5:2]E[4>5;5>4],0.6942934551509031,failed
